timestamp,x,y,z
1750851647416,-0.2243401,-0.03924806,0.2706131
1750851647435,-0.20967934,-0.14187334,0.077579826
1750851647454,-0.06307179,-0.08078687,0.126449
1750851647473,-0.06307179,-0.064904384,0.058032155
1750851647492,-0.107054055,-0.077121675,0.032375835
1750851647511,-0.07773254,-0.033139415,0.017715078
1750851647530,0.009010255,0.0035124724,-0.029932374
1750851647549,0.13240494,0.03527744,-0.08491021
1750851647568,0.20693044,0.057268575,-0.14355323
1750851647588,0.24969098,0.08414663,-0.16920954
1750851647607,0.20448698,0.09269873,-0.18142684
1750851647626,0.12751803,0.051159926,-0.16554436
1750851647645,0.11530073,0.052381653,-0.12767074
1750851647664,0.043218683,0.053603385,-0.10445788
1750851647683,-0.044745844,0.016951498,-0.06780599
1750851647702,-0.119271345,-0.01970039,-0.029932374
1750851647721,-0.09850194,-0.04780017,-0.007941242
1750851647740,-0.048411034,-0.035582874,-0.010384701
1750851647759,-0.0594066,-0.031917684,-0.027488915
1750851647779,-0.113162704,-0.023365578,-0.031154104
1750851647798,-0.099723674,-0.023365578,-0.022601997
1750851647817,0.017562363,-0.0050396346,-0.007941242
1750851647836,0.08842268,0.023060145,-0.007941242
1750851647855,0.02367101,0.020616686,-0.037262753
1750851647874,-0.066736974,0.03161225,-0.05070178
1750851647893,-0.107054055,0.014508039,-0.049480047
1750851647912,-0.00320704,0.002290743,-0.03848448
1750851647931,0.117744185,0.051159926,-0.007941242
1750851647950,0.06398808,0.056046844,-0.0140498895
1750851647970,-0.067958705,0.0377209,-0.029932374
1750851647989,-0.12049308,0.026725333,-0.029932374
1750851648008,-0.07284562,0.03527744,-0.009162972
1750851648027,0.031001387,0.03894263,0.011606431
1750851648046,0.059101168,0.042607818,0.01527162
1750851648065,0.011453714,0.052381653,0.01282816
1750851648084,-0.087506376,0.06582068,0.021380268
1750851648103,-0.21334453,0.053603385,0.022601997
1750851648122,-0.23777911,0.026725333,-0.0140498895
1750851648141,-0.054519683,0.04016436,-0.017715078
1750851648161,0.1311832,0.11102467,-0.01527162
1750851648180,0.12751803,0.13545926,-0.022601997
1750851648199,0.060322896,0.15378521,-0.0030543238
1750851648218,-0.056963142,0.14156792,0.029932374
1750851648237,-0.13026692,0.075594515,0.07024945
1750851648256,-0.09850194,0.04138609,0.0971275
1750851648275,0.0029016077,0.03649917,0.12767074
1750851648294,-0.043524116,0.03405571,0.13255766
1750851648313,-0.25610507,-0.0025961753,0.12156209
1750851648332,-0.4809033,-0.030695954,0.11056653
1750851648352,-0.41615164,-0.08933897,0.109344795
1750851648371,-0.107054055,-0.01725693,0.12522727
1750851648390,-0.00320704,0.095142186,0.13744457
1750851648409,-0.21456626,0.09269873,0.13133593
1750851648428,-0.56275916,0.114689864,0.13255766
1750851648447,-0.95859957,0.15012002,0.1301142
1750851648466,-1.0868812,0.102472566,0.16065744
1750851648485,-1.0209078,0.06582068,0.17287473
1750851648504,-0.9451605,0.075594515,0.16432263
1750851648523,-1.0685552,0.17088942,0.18875721
1750851648543,-1.3666573,0.20387612,0.1423315
1750851648562,-1.1968368,0.12324197,0.103236146
1750851648581,-0.8144355,0.27351472,0.13377939
1750851648600,-0.62384564,0.37858346,0.11423171
1750851648619,-0.67638004,0.43111783,0.076358095
1750851648638,-0.82420933,0.44944376,0.06902772
1750851648657,-0.73013616,0.38347036,0.060475614
1750851648676,-0.40149087,0.41645706,0.07513637
1750851648695,-0.2658789,0.45677415,0.064140804
1750851648714,-0.35506517,0.41890052,0.07513637
1750851648734,-0.56520265,0.3810269,0.16065744
1750851648753,-0.79366606,0.27962336,0.2669479
1750851648772,-0.88896096,0.16844596,0.31459537
1750851648791,-0.7338013,0.13179408,0.37079492
1750851648810,-0.7020363,0.13057235,0.46242464
1750851648829,-1.0477858,0.102472566,0.47708538
1750851648848,-1.5218168,-0.034361143,0.4807506
1750851648867,-1.719737,-0.14065161,0.4392118
1750851648886,-1.3446661,-0.18707734,0.4575377
1750851648905,-1.0905464,-0.035582874,0.5051852
1750851648925,-1.3275619,0.0010690134,0.4734202
1750851648944,-1.8968879,-0.025809037,0.40378162
1750851648963,-2.1461208,-0.15042545,0.36102107
1750851648982,-1.6232204,-0.27748534,0.32681265
1750851649001,-1.0709987,-0.066126116,0.34269515
1750851649020,-0.9598213,0.13912445,0.3158171
1750851649039,-1.3263402,0.20387612,0.24129158
1750851649058,-1.6745331,0.16355905,0.13133593
1750851649077,-1.3703225,0.15256348,0.060475614
1750851649096,-0.9182825,0.3346012,0.12034036
1750851649116,-0.929278,0.4262309,0.115453444
1750851649135,-1.322675,0.45188722,0.054366965
1750851649154,-1.317788,0.30405796,0.04459313
1750851649173,-0.90484345,0.19288056,0.032375835
1750851649192,-0.5261073,0.37369654,0.03604102
1750851649211,-0.6226239,0.4958695,0.009162972
1750851649230,-1.0746639,0.57772535,-0.032375835
1750851649249,-1.4020873,0.6168207,0.07391464
1750851649268,-1.5095996,0.68035066,0.2498437
1750851649287,-1.0355685,0.7451023,0.5235111
1750851649307,-0.38316494,0.8000801,0.72509646
1750851649326,0.114079,0.83917546,0.87536925
1750851649345,0.25335616,0.82451475,1.0647373
1750851649364,0.2093739,0.7829759,1.3494003
1750851649383,0.12507457,0.7316633,1.5131121
1750851649402,0.031001387,0.66446817,1.6426154
1750851649421,-0.12415826,0.60216,1.7354668
1750851649440,-0.25854853,0.4555524,1.8466443
1750851649459,-0.048411034,0.36636615,1.965152
1750851649478,0.3413207,0.37614,2.0237951
1750851649498,0.71028304,0.38224864,2.051895
1750851649517,0.9289726,0.42745262,2.0580034
1750851649536,0.9912808,0.43600473,2.0250168
1750851649555,1.1183407,0.47387835,2.0127995
1750851649574,1.2893828,0.506865,1.9932518
1750851649593,1.2539526,0.59482956,1.9871432
1750851649612,1.1220059,0.69378966,1.9211698
1750851649631,0.8788817,0.67790717,1.8991786
1750851649650,0.9314161,0.7732021,1.9089525
1750851649669,1.0181589,0.87827086,1.8442007
1750851649689,0.8116866,0.9100358,1.770897
