timestamp,x,y,z
1750848949441,3.1842487,5.6578293,6.786045
1750848949460,3.1555347,6.0981083,6.814759
1750848949479,3.2943187,6.0550375,6.977471
1750848949498,3.289533,5.892326,7.1210403
1750848949517,3.2368908,5.9545393,7.1688967
1750848949537,3.260819,6.0933228,7.192825
1750848949556,3.3565319,6.222535,7.2215385
1750848949575,3.2943187,6.0358953,7.216753
1750848949594,3.4857445,5.81097,6.991828
1750848949613,3.3900316,5.8875403,6.8721867
1750848949632,3.2321053,6.0454664,7.140183
1750848949651,3.2799616,5.9114685,7.1162543
1750848949670,2.8444679,6.2416778,7.1210403
1750848949689,2.949752,5.992824,6.910472
1750848949708,2.8492537,6.2033925,6.7764735
1750848949728,2.8540392,6.0550375,6.771688
1750848949747,2.9353952,6.0311093,6.8099732
1750848949766,3.0358937,6.064609,6.8243303
1750848949785,2.925824,6.236892,7.192825
1750848949804,2.6626134,6.3326054,7.1066833
1750848949823,2.8396823,6.1842504,6.728617
1750848949842,2.949752,6.3421764,6.613762
1750848949861,2.9066813,6.346962,6.867401
1750848949880,2.777469,6.413961,6.896115
1750848949899,2.6386852,6.413961,6.977471
1750848949919,2.6578279,6.1651077,6.5659056
1750848949938,2.6338995,6.1363935,6.4175506
1750848949957,2.3659034,5.968896,6.7525454
1750848949976,2.0691934,5.9353967,7.04447
1750848949995,1.6002002,5.6482577,6.7381887
1750848950014,1.049851,4.7102714,6.0490556
1750848950033,0.5138587,4.308277,6.135197
1750848950052,0.4755735,5.2510495,6.7094746
1750848950071,0.4229314,5.8731833,7.3172517
1750848950090,0.29850462,5.5190454,7.5182486
1750848950110,0.4564309,5.877969,7.479964
1750848950129,0.5712864,5.7343993,7.7144604
1750848950148,0.6430711,5.456832,7.676175
1750848950167,0.92542416,5.1122656,7.6570325
1750848950186,1.035494,4.81077,7.52782
1750848950205,0.9589237,4.6576295,7.499106
1750848950224,1.049851,4.863412,7.7096744
1750848950243,1.2939188,5.4520464,8.015956
1750848950262,1.5571294,5.581259,8.193025
1750848950281,1.5236298,5.3994045,8.465807
1750848950301,1.0594223,5.1553364,8.575876
1750848950320,1.11685,4.715057,8.82473
1750848950339,1.5044873,4.2652063,8.724232
1750848950358,1.6097715,3.5090744,8.82473
1750848950377,1.2460624,2.9252257,8.647661
1750848950396,1.5906289,2.7433712,8.886943
1750848950415,1.4709877,2.2935205,9.107083
1750848950434,1.2699906,1.6570296,9.236296
1750848950453,1.3226327,1.0109676,9.140582
1750848950472,1.3896317,0.48933223,9.145369
1750848950492,1.3896317,0.015553347,9.355937
1750848950511,1.0737791,-0.44865423,9.585648
1750848950530,0.88235337,-0.4534399,9.777073
1750848950549,0.65264237,-0.357727,10.102497
1750848950568,0.4564309,-0.49172506,10.04507
1750848950587,0.23150559,-0.82672024,10.049855
1750848950606,0.23150559,-0.654437,10.222138
1750848950625,-0.012562319,-0.78843504,10.57149
1750848950644,-0.38584265,-1.2191432,10.911271
1750848950663,-0.40977088,-1.6881363,10.930414
1750848950683,-0.098703936,-1.4392828,10.872986
1750848950702,-0.17527425,-1.6115661,10.619347
1750848950721,-0.5916254,-1.8508483,10.49492
1750848950740,-0.73519474,-1.5828521,10.887343
1750848950759,-0.70648086,-1.2430713,11.428121
1750848950778,-0.7160522,-0.9128618,11.997613
1750848950797,-0.35234314,-0.17587246,12.05504
1750848950816,-0.21355942,0.08733802,11.686545
1750848950835,-0.3906283,-0.15194423,11.60519
1750848950854,-0.73519474,-0.60658056,11.447264
1750848950874,-0.70648086,-0.06580263,11.504691
1750848950893,-0.32841492,0.58504516,11.940185
1750848950912,-0.44805604,0.7286145,11.983255
1750848950931,-1.0462617,0.4031906,11.973684
1750848950950,-1.5200406,0.6855437,11.68176
1750848950969,-1.4147564,1.7431713,11.346765
1750848950988,-1.1946167,2.4466612,10.652846
1750848951007,-1.0175478,2.7672994,9.767502
1750848951026,-1.055833,3.1022944,8.848659
1750848951045,-1.204188,3.9110687,8.518449
1750848951065,-1.5726827,4.4374895,8.240881
1750848951084,-1.931606,4.5619164,8.001599
1750848951103,-2.0368903,4.8729835,7.9298143
1750848951122,-1.96032,5.308477,7.8580294
1750848951141,-1.9651057,5.3994045,7.7671022
1750848951160,-2.2713869,4.188636,7.0731835
1750848951179,-2.539383,3.1645079,7.140183
1750848951198,-2.405385,3.8775692,7.556534
1750848951217,-2.1134605,3.3415768,7.676175
1750848951236,-2.1134605,2.260021,7.408179
1750848951255,-2.3479571,1.9441684,7.432107
1750848951275,-2.391028,1.4033905,7.4656067
1750848951294,-2.4197419,-0.30508488,7.5326056
1750848951313,-2.2331018,-1.7359928,7.4943204
1750848951332,-2.0703897,-2.300699,7.4177504
1750848951351,-1.4099708,-2.7314072,7.259824
1750848951370,-0.8979067,-3.0185459,7.164111
1750848951389,-0.7304091,-3.2338998,7.207182
1750848951408,-0.89312106,-3.5784662,7.1784678
1750848951427,-0.9553344,-3.7794633,7.1449685
1750848951447,-0.98883396,-4.1288157,7.322037
1750848951466,-0.907478,-4.1671004,7.4847493
1750848951485,-0.8452646,-3.9852462,7.5613194
1750848951504,-0.84047896,-4.688736,7.5900335
1750848951523,-1.2137593,-4.162315,8.322237
1750848951542,-1.3477573,-2.3198416,9.188439
1750848951561,-1.4003994,-1.0468599,9.848858
1750848951580,-1.352543,-0.3481557,10.27478
1750848951599,-1.352543,1.4656038,11.6339035
1750848951618,-1.486541,2.1834507,12.490534
1750848951637,-2.4005992,1.8388842,12.260823
1750848951657,-3.0083764,2.341377,11.590833
1750848951676,-2.5585256,3.1549366,11.016556
1750848951695,-2.1278176,3.5712879,10.79163
1750848951714,-2.4149563,4.557131,10.916057
1750848951733,-2.716452,4.6576295,10.959127
1750848951752,-2.7116663,5.1266227,10.63849
1750848951771,-2.6829524,5.6961145,9.887143
1750848951790,-2.4484558,5.150551,9.2793665
1750848951809,-2.4867408,5.48076,9.097511
1750848951828,-2.55374,5.346762,8.776874
1750848951848,-2.472384,5.3994045,8.001599
1750848951867,-2.056033,5.4424753,7.2550383
1750848951886,-1.7880367,5.8875403,6.9678993
1750848951905,-1.7401803,6.07418,7.475178
1750848951924,-2.14696,5.5573306,7.283752
1750848951943,-2.5154548,5.3706903,6.9009004
1750848951962,-2.7068806,5.7248282,7.2502527
1750848951981,-2.6638098,5.8875403,7.0779696
1750848952000,-2.4197419,5.834898,6.661618
1750848952019,-2.012962,4.7485566,5.584848
1750848952039,-2.4293132,4.490132,5.7188463
1750848952058,-3.013162,5.035695,6.474978
1750848952077,-3.4103706,4.9112687,6.5515485
1750848952096,-2.8265216,4.4518466,6.2787666
1750848952115,-2.5202405,3.9493537,6.6041903
1750848952134,-2.7260232,4.284349,6.7381887
1750848952153,-3.4725838,4.5044885,7.972885
1750848952172,-3.8697925,5.265406,8.169097
1750848952191,-3.0849466,6.710671,7.4416785
1750848952210,-3.1040893,6.6101727,7.6953177
1750848952230,-4.305286,6.131608,7.7383885
1750848952249,-4.8125644,4.389633,8.092526
1750848952268,-3.888935,5.1361938,7.34118
1750848952287,-3.0514472,6.4761744,6.8243303
1750848952306,-2.6159534,6.6101727,6.9152575
1750848952325,-2.5680969,5.2606206,7.4273214
1750848952344,-2.0991037,5.241478,7.3986077
1750848952363,-1.8406788,4.7772703,7.288538
1750848952382,-1.3573287,5.3563333,6.6711893
1750848952401,-1.9124635,5.9784675,6.3457656
1750848952421,-2.9270203,5.432904,5.905486
1750848952440,-3.5491543,5.050052,5.852844
1750848952459,-3.1806595,5.279763,5.8767724
1750848952478,-2.4867408,5.0596237,5.2929235
1750848952497,-1.5678971,4.4374895,5.517849
1750848952516,-1.4961123,3.4851463,6.0346985
1750848952535,-1.6444674,3.1740792,6.0155563
1750848952554,-1.8215362,4.2891345,6.4606214
1750848952573,-2.1852453,4.2652063,6.719046
1750848952592,-2.2809582,3.1645079,6.5228343
1750848952612,-2.161317,2.8486555,6.4271216
1750848952631,-2.8313074,2.5232315,6.9726853
1750848952650,-3.2045877,2.9635108,7.8628154
1750848952669,-3.3338,3.1692936,7.9106717
1750848952688,-3.8458643,3.0496526,8.035098
1750848952707,-5.1810594,2.786442,8.9348
1750848952726,-5.8223357,3.2602208,8.56152
1750848952745,-5.6500525,4.0977087,8.408379
1750848952764,-5.9324055,3.595216,8.274381
1750848952783,-6.315257,3.7339997,8.523234
1750848952803,-7.238887,4.2364926,8.666803
1750848952822,-7.722237,4.7246284,8.111669
1750848952841,-7.6600237,4.4039903,7.2933235
1750848952860,-7.5068827,4.126423,6.202196
1750848952879,-7.9184484,3.6813576,6.04427
1750848952898,-8.3013,3.0592237,6.6329045
1750848952917,-8.660223,3.9780676,6.532406
1750848952936,-8.578867,3.6861434,7.1018977
1750848952955,-8.578867,3.3320055,6.5946193
1750848952974,-7.78445,3.7005002,5.6039906
1750848952994,-7.8897343,4.3465624,4.718646
1750848953013,-7.8610206,3.9302113,4.1204405
1750848953032,-8.018947,3.528217,3.694518
1750848953051,-8.492725,2.6572297,4.0677986
1750848953070,-8.660223,2.2265215,4.3788652
1750848953089,-8.842078,2.5184457,4.130012
1750848953108,-9.15793,2.3892334,4.115655
1750848953127,-9.134003,2.4849463,4.278367
1750848953146,-8.985647,3.083152,4.5272202
1750848953165,-8.129017,3.1836505,4.503292
1750848953185,-7.569096,2.3365912,4.115655
1750848953204,-7.492526,1.8005991,3.8333018
1750848953223,-7.1048884,1.4656038,3.7136607
1750848953242,-6.8129644,0.8673982,3.330809
1750848953261,-6.726823,-0.061016977,2.589034
1750848953280,-6.793822,-0.6975078,2.120041
1750848953299,-6.6167526,-1.2909278,2.268396
1750848953318,-6.52104,-1.7647067,2.1008983
1750848953337,-6.9948187,-2.1427727,2.0147567
1750848953356,-7.650452,-2.3198416,1.698904
1750848953376,-7.923234,-2.3724837,1.4213367
1750848953395,-7.4590263,-2.3724837,1.0719845
1750848953414,-7.530811,-2.6691937,0.9092726
1750848953433,-7.6552377,-2.7074788,0.72263247
1750848953452,-7.683952,-3.1286156,0.5982057
1750848953471,-7.583453,-3.2817562,0.44027936
1750848953490,-7.3920274,-2.9467611,0.22492532
1750848953509,-7.516454,-3.1956146,-0.11485548
1750848953528,-7.7270226,-3.4492538,-0.13878371
1750848953547,-7.5882387,-3.5306098,-0.15314065
1750848953567,-8.205587,-4.2723846,-0.33020952
1750848953586,-8.813364,-4.755735,-0.5072784
1750848953605,-9.138788,-4.1383867,-0.8422736
1750848953624,-8.368299,-3.1190443,-2.4023938
1750848953643,-8.339585,-4.741378,-3.37388
1750848953662,-9.41157,-7.9334035,-3.5270207
1750848953681,-9.45464,-9.431311,-3.3164523
1750848953700,-8.248658,-7.6893353,-4.85743
1750848953719,-6.497112,-7.6893353,-6.0490556
1750848953738,-6.1046886,-9.91466,-6.6281185
1750848953758,-7.042675,-11.513066,-7.0061846
1750848953777,-6.975676,-10.498509,-7.2023964
1750848953796,-6.669395,-9.957731,-8.097312
1750848953815,-6.9613194,-9.12503,-9.288938
1750848953834,-7.48774,-8.541181,-9.064013
1750848953853,-7.70788,-9.335598,-8.006385
1750848953872,-7.320243,-9.345169,-6.3457656
1750848953891,-7.3011003,-7.0097737,-7.5996046
1750848953910,-6.315257,-7.3160553,-9.757931
1750848953929,-7.2580295,-6.823134,-9.12144
1750848953949,-6.559325,-7.172486,-8.872586
1750848953968,-6.9278197,-6.0622163,-8.135597
1750848953987,-6.750751,-4.4685965,-10.293923
1750848954006,-6.3343997,-6.2584276,-9.982856
1750848954025,-5.4586267,-5.0572305,-10.389636
1750848954044,-4.8508496,-6.765706,-9.801002
1750848954063,-4.860421,-5.818148,-10.241281
1750848954082,-3.4725838,-5.2342997,-8.800801
1750848954101,-2.352743,-3.4779677,-9.571291
1750848954120,-2.3479571,-4.664808,-10.413564
1750848954140,-1.204188,-4.4398823,-9.7196455
1750848954159,-0.4336991,-4.975875,-9.667004
1750848954178,0.6047859,-4.4350967,-8.9013
1750848954197,2.1457636,-4.3728833,-9.188439
1750848954216,2.9114668,-4.7222357,-9.480363
1750848954235,3.8446677,-3.8560338,-9.016156
1750848954254,3.5479577,-3.2243285,-8.566305
1750848954273,2.777469,-4.9663033,-9.547362
1750848954292,4.2705903,-2.7218359,-10.858629
1750848954311,5.2420764,-3.3966117,-11.806187
1750848954331,3.571886,-3.7890346,-11.739188
1750848954350,4.2035913,-1.5732809,-10.662417
1750848954369,5.892924,-0.26679972,-7.776674
1750848954388,4.366303,-6.2057858,-6.489335
1750848954407,3.4474592,-4.9806604,-8.035098
1750848954426,5.0937214,-2.056631,-7.834101
1750848954445,7.103692,-3.8033917,-5.613562
1750848954464,9.439087,-4.2006,-7.2693954
1750848954483,10.056436,-3.5736806,-9.595219
1750848954502,9.080164,-4.071388,-9.662218
1750848954522,9.936794,-5.535795,-9.647861
