timestamp,x,y,z
1750848552684,1.346561,8.237292,4.517649
1750848552703,1.035494,8.007581,4.6612186
1750848552722,1.1359925,8.232507,4.8382874
1750848552741,1.2699906,8.309076,4.910072
1750848552760,1.3944174,8.452646,4.814359
1750848552779,1.332204,8.342576,4.752146
1750848552798,1.0689936,8.055437,4.666004
1750848552817,1.2221341,8.103293,4.766503
1750848552837,1.346561,8.160722,4.8287163
1750848552856,1.2987045,8.136793,4.9531426
1750848552875,1.3417753,8.256434,5.1014977
1750848552894,1.3226327,8.232507,5.139783
1750848552913,1.2747762,8.208578,5.1349974
1750848552932,1.2364911,8.222935,5.1014977
1750848552951,1.183849,8.127222,5.15414
1750848552970,1.2221341,8.165507,5.1493545
1750848552989,1.2699906,8.155936,5.048856
1750848553008,1.2221341,8.117651,4.9340005
1750848553028,1.1934203,8.060223,4.9196434
1750848553047,1.1694921,7.978867,4.9531426
1750848553066,1.11685,7.96451,5.0392847
1750848553085,1.1551352,7.9884386,5.139783
1750848553104,1.1647065,7.993224,5.0009995
1750848553123,1.2221341,8.060223,4.9196434
1750848553142,1.2987045,8.103293,4.6803613
1750848553161,1.1599208,7.8400836,4.761717
1750848553180,1.0881361,7.8927255,4.914858
1750848553199,1.41356,8.179864,5.1349974
1750848553219,1.3130615,8.103293,5.139783
1750848553238,1.0881361,7.8352976,4.991428
1750848553257,0.8775677,7.792227,5.0536413
1750848553276,0.79142606,8.184649,5.302495
1750848553295,0.61435723,8.342576,5.4125648
1750848553314,1.6959131,7.8831544,4.9722853
1750848553333,2.1984057,8.471788,5.1732826
1750848553352,0.8967103,8.352147,4.9674997
1750848553371,1.1599208,8.160722,4.8526444
1750848553390,1.2987045,8.328219,4.8191447
1750848553410,1.0402796,8.352147,4.8095737
1750848553429,1.265205,8.26122,4.7425747
1750848553448,1.4327025,8.084151,4.584648
1750848553467,1.2412767,8.084151,4.627719
1750848553486,1.0881361,8.050652,4.733003
1750848553505,1.1312069,8.136793,4.8095737
1750848553524,1.0881361,7.9836526,4.8239303
1750848553543,0.9876375,7.7587276,4.8861437
1750848553562,0.87278205,7.820941,4.881358
1750848553581,1.0259227,7.7347994,4.8047876
1750848553601,1.102493,7.9980097,4.938786
1750848553620,0.9445667,8.021938,5.087141
1750848553639,0.8775677,7.911868,5.1062837
